lemma_name,lexical_abbreviation,definition_text
"merica hitam",noun,"merica yang diperoleh dari buah yang belum masak, dijemur di panas matahari atau dalam rumah asap sampai ber-warna hitam, berbentuk butiran hitam berkeriput"
"merica putih",noun,"merica yang diperoleh dari buah yang sudah masak berwarna merah, setelah tangkainya dibuang, buah direndam dalam air mengalir hingga sebagian kulitnya rusak dan dapat dikupas, kemudian dijemur"
"meridian geografis",noun,"garis khayal yang melalui titik tertentu pada permukaan bumi yang menghubungkan kutub utara dan kutub selatan bumi"
"merintang anak",noun,"membujuk atau menghibur anak supaya tidak menangis atau tidak ingat kepada ibunya apabila ibunya sibuk bekerja"
"merintang hati",noun,"menghiburkan hati; melipur hati"
"merintang lelah",noun,"melepaskan lelah; mengaso"
"merintang mata",noun,"mempersenang mata dengan melihat-lihat barang yang indah"
"merintang payah",noun,"merintang lelah"
"merintang penat",noun,"merintang lelah"
"merintang pikiran",noun,"menghilangkan susah dsb (dengan membelokkan pikiran pada perkara lain)"
"merintang waktu",noun,"mengisi waktu yang terluang (dengan melakukan sesuatu)"
"meristem ujung",noun,"daerah tumbuhan pada ujung tunas atau akar"
"merogoh kantong",verb,mencopet
"merpati pos",noun,"merpati yang telah dilatih sebagai pengantar surat"
"merungus-rungus kecil",verb,"bernyanyi perlahan-lahan (untuk diri sendiri saja)"
"meruntuhkan hati",verb,"menggiurkan hati; membangkitkan berahi (dalam hati)"
"meruntuhkan iman",verb,"merusakkan iman; menggoda hati orang"
"merupakan diri",verb,"menampakkan dirinya sebagai (menjadi); mewujudkan dirinya dsb"
"merupakan diri",verb,"berbuat (berlagak) sebagai"
"mesin bor",noun,"mesin untuk membuat lubang yang berbentuk silinder dalam bahan yang pejal atau untuk mengebor lubang menjadi lebih besar; mesin gerek"
"mesin bor jumbo",noun,"mesin bor yang terdiri atas beberapa mesin bor sentak yang sekaligus dapat digerakkan secara bersama-sama"
"mesin bubut",noun,"mesin untuk mengerjakan bahan dari kayu atau logam, dilengkapi dengan pahat yang beroda tetap pada tempatnya, sedangkan benda yang dikerjakan berputar dengan kecepatan yang teratur melewati pahat yang dapat dipindahkan dengan tangan atau secara otomatis"
"mesin cetak",noun,"mesin untuk mencetak buku, majalah, dsb"
"mesin cuci",noun,"mesin yang dipergunakan untuk mencuci pakaian"
"mesin dandang",noun,"mesin pemecah batu"
"mesin derek",noun,"mesin untuk mengangkat, memindahkan, atau menurunkan barang yang berat (besar)"
"mesin diesel",noun,"mesin yang menggunakan solar sebagai bahan bakar"
"mesin flotasi",noun,"mesin yang apabila digunakan memungkinkan terjadinya proses flotasi"
"mesin generator",noun,"mesin pembangkit tenaga listrik"
"mesin gerek",noun,"mesin bor"
"mesin giling",noun,"alat untuk menggiling beras"
"mesin giling",noun,"alat untuk mendatarkan atau membengkokkan pelat besi"
"mesin giling",noun,"alat (pesawat, kendaraan, dsb) yang beroda besi berat berbentuk silinder untuk memadatkan dan meratakan jalan (tanah dsb)"
"mesin hidraulik",noun,"mesin yang dijalankan dengan tekanan cairan, seperti air, yang dipakai sebagai sumber tenaga mesin"
"mesin hitung",noun,"mesin untuk menjumlahkan, mengurangkan, mengalikan, membagi, dsb"
"mesin jahit",noun,"mesin untuk menjahit (pakaian dsb)"
"mesin jig",noun,"mesin pemberi warna bahan tekstil"
"mesin katup",noun,"mesin yang menggunakan katup untuk memasukkan uap baru dan membuang uap yang telah dipakai"
"mesin kemudi",noun,"mesin yang digerakkan dengan tenaga uap, listrik, atau hidraulik untuk memutar poros kemudi yang dikendalikan dari rumah kemudi atau anjungan"
"mesin ketik",noun,"mesin tik"
"mesin kumpul",noun,"mesin untuk mengumpulkan dan menyusun kertas sesuai dengan urutannya menjadi blok buku"
"mesin lipat",noun,"mesin yang dapat melipat surat dan sejenisnya secara otomatis dalam jumlah besar, misal undangan, selebaran, atau iklan"
"mesin peledak",noun,"alat yang berfungsi menyediakan energi listrik untuk menyalakan bahan peledak"
"mesin pembubuh tanda",noun,"mesin yang dapat membubuhkan tanda tertentu secara otomatis pada surat atau benda lain dalam jumlah banyak"
"mesin pembukuan",noun,"mesin untuk membukukan rekening dengan cara memasukkan angka, baik secara manual maupun elektronik"
"mesin pendingin",noun,"mesin untuk mendapatkan suhu yang rendah"
"mesin pengayak",noun,"alat yang dapat menggetarkan, menggoyahkan, atau memutar ayakan dan digunakan untuk mengayak bijih, batu bara, atau material lainnya"
"mesin pengeram",noun,"mesin tetas"
"mesin pengering",noun,"mesin untuk mengeringkan sesuatu secara buatan atau mekanis"
"mesin perah",noun,"mesin yang dilengkapi dengan alat untuk memerah air susu pada ternak perah"
"mesin pertanian",noun,"mesin yang dipakai untuk mengolah tanah pertanian"
"mesin perum",noun,"alat mekanik di kapal untuk mengukur kedalaman laut atau perairan pada waktu kapal berlayar dengan kecepatan normal"
"mesin pintar",noun,komputer
"mesin selip",noun,"mesin untuk mengasah atau mengupas padi"
"mesin sentrifugal",noun,"mesin yang berputar dengan kecepatan tinggi untuk memisahkan cairan dengan cairan lain, misal krim dari susu"
"mesin stensil",noun,"mesin untuk mereproduksi surat dsb"
"mesin tempel",noun,"mesin atau motor yang ditempelkan pada buritan perahu untuk menggerakkan perahu itu"
"mesin terbang",noun,"kapal terbang; pesawat udara"
"mesin tetas",noun,"mesin untuk menetaskan telur dengan membuat suhu, kelembapan, dan suasana seperti pada waktu induk mengerami telur"
"mesin tik",noun,"mesin penyusun huruf yang menggantikan cara menulis dengan tangan"
"mesin tulis",noun,"mesin tik"
"mesin tumbuk",noun,"mesin (peralatan berat) untuk meratakan dan mengeraskan jalan, tanah, dsb"
"mestika embun",noun,"batu sakti yang dapat menghidupkan kembali orang yang telah mati"
"mestika gamat",noun,"permata yang terdapat di dalam teripang yang amat indah"
"metabolit antara",noun,"senyawa atau metabolit yang terbentuk di antara tahapan reaksi dalam suatu proses biokimia"
"metalurgi ekstraktif",noun,"ekstraksi logam dari bijih dengan berbagai metode kimia dan mekania"
"meteorologi aeronautika",noun,"meteorologi tentang hubungan cuaca dan penerbangan"
"meteorologi bahari",noun,"meteorologi tentang interaksi antara lautan dan atmosfer"
"meteorologi bahari",noun,"meteorologi yang menyediakan layanan khusus untuk kegiatan pelayaran dan kelautan"
"meteorologi dinamis",noun,"meteorologi yang khusus tentang gejala atmosfer dari segi kedinamisan"
"meteorologi fisika",noun,"meteorologi tentang sifat fisik atmosfer"
"meteorologi kesehatan",noun,"meteorologi tentang hubungan cuaca dan kesehatan manusia"
"meteorologi percobaan",noun,"meteorologi tentang proses atmosfer dan gejala di dalamnya melalui percobaan laboratorium dan percobaan lapangan"
"meteorologi pertanian",noun,"meteorologi tentang hubungan cuaca dan pertanian"
"meteorologi radar",noun,"meteorologi tentang penjalaran gelombang radar di dalam atmosfer dan kegunaan peralatan radar dalam meteorologi"
"meteorologi sinoptik",noun,"meteorologi tentang gejala atmosfer dengan cara analisis peta cuaca untuk keperluan ramalan cuaca"
"meteorologi teori",noun,"meteorologi tentang gejala atmosfer dari segi pandangan teori ilmiah"
"meteorologi terapan",noun,"meteorologi tentang penggunaan data, analisis, dan ramalan cuaca untuk suatu bidang kegiatan"
"meter arus",noun,"alat untuk menentukan kecepatan aliran"
"meterai efek",noun,"pajak meterai yang dipungut dari efek"
"meterai tempel",noun,"meterai yang berbentuk seperti prangko, ditempelkan pada kuitansi dsb"
"meterai upah",noun,"meterai tanda pembayaran pajak upah yang ditempelkan pada daftar upah pekerja"
"meteran gas",noun,"alat untuk mengukur konsentrasi gas di dalam ruang pada waktu dan suhu tertentu"
"metode abjad",noun,"metode belajar membaca yang dimulai dengan mengenal huruf demi huruf, lalu merangkaikannya menjadi suku kata"
"metode analitis",noun,"metode untuk mengajarkan membaca dan menulis permulaan dengan menyajikan satuan-satuan bahasa, kemudian menyuruh siswa mengenal unsurnya"
"metode analitis-sintetis",noun,"metode untuk mengajar membaca dan menulis permulaan dengan menyajikan unsur dari satuan bahasa dan diikuti dengan satuan-satuan itu secara utuh, kemudian unsur itu lagi, siswa disuruh mengenal dan menyalinnya secara bertahap mulai dari unsurnya, lalu satuan itu secara utuh, dan kemudian unsur lagi"
"metode asosiasi",noun,"penyajian pesan yang dihubungkan dengan suatu peristiwa atau objek yang populer dan menarik perhatian khalayak"
"metode berpikir",noun,"alat, teknik, atau cara berpikir"
"metode ceramah",noun,"cara belajar atau mengajar yang menekankan pemberitahuan satu arah dari pengajar kepada pelajar (pengajar aktif, pelajar pasif)"
"metode deduktif",noun,"metode belajar dan mengajar yang dimulai dari hal-hal yang bersifat umum, kemudian ditarik kesimpulan pada yang khusus"
"metode dialektika",noun,"cara memperoleh pengertian tentang suatu hal melalui prosedur ilmiah terhadap suatu gejala yang dilakukan dengan cara tanya jawab"
"metode dilatometer",noun,"metode yang dilakukan berdasarkan perubahan kecil volume cairan yang ditimbulkan oleh proses fisika atau kimia"
"metode diskusi",noun,"cara belajar atau mengajar yang melakukan tukar pikiran antara murid dengan guru, murid dengan murid sebagai peserta diskusi"
"metode eja",noun,"metode belajar membaca yang dimulai dengan melafalkan huruf konsonan menurut bunyi konsonan itu"
"metode global",noun,"metode dalam pengajaran bahasa untuk mengajarkan membaca dan menulis permulaan dengan menyajikan satuan bahasa secara utuh dan menyuruh siswa mengenal dan menyalinnya secara keseluruhan, biasanya siswa lalu menghafalkan sehingga tidak dapat membaca dan menulis unsur yang baru"
"metode gramatika terjemahan",noun,"metode pengajaran bahasa asing yang mengutamakan pengajaran kaidah tata bahasa dengan sejumlah kata kemudian diikuti dengan latihan penerjemahan, baik dari bahasa asing itu ke dalam bahasa murid maupun sebaliknya"
"metode ilmiah",noun,"pendekatan atau cara yang dipakai dalam penelitian suatu ilmu"
"metode induktif",noun,"metode yang digunakan untuk menarik kesimpulan dari hal-hal yang khusus untuk menuju kesimpulan yang bersifat umum"
"metode jalur",noun,"metode penggalian benda purbakala dengan cara menggali sepanjang situs (menyerupai parit) yang dilakukan berturut-turut sampai seluruh situs selesai"
"metode kalimat",noun,"metode dalam mengajarkan membaca yang dimulai dengan melatih anak didik mengenal kata-kata atau peribahasa dalam kalimat"
"metode kata lembaga",noun,"metode dalam mengajarkan membaca yang dimulai dengan cara mengupas kata menjadi suku kata dan suku kata dikupas lagi menjadi huruf"
"metode kelompok",noun,"metode untuk mengubah pandangan dan sikap seseorang dengan jalan memasukkan orang itu ke dalam kelompok"
"metode komparatif",noun,"metode untuk menentukan kekerabatan bahasa dengan membandingkan bentuk kata seasal yang bertujuan merekonstruksi bahasa purba"
"metode kontrasepsi",noun,"cara untuk mencegah kehamilan dengan disengaja"
"metode kontrasepsi dl rahim",noun,"metode yang menggunakan alat dengan cara memasukkannya ke dalam rahim dan yang akan mencegah kehamilan selama alat itu tidak keluar"
"metode kuadran",noun,"metode penggalian berbentuk seperempat lingkaran"
"metode langsung",noun,"metode dalam pengajaran bahasa dengan jalan memberikan pelajaran langsung dalam bahasa yang dipelajari tanpa menggunakan bahasa itu"
"metode mengetik",noun,"cara menggunakan mesin tik dengan semua jari dari kedua tangan untuk menjamin kecepatan bekerja"
"metode pemberian tu-gas",noun,"cara belajar atau mengajar yang menekankan pada pemberian tugas oleh pengajar kepada murid yang harus melakukan tugas yang diberikan kepadanya"
"metode penelitian",noun,"cara mencari kebenaran dan asas-asas gejala alam, masyarakat, atau kemanusiaan berdasarkan disiplin ilmu yang bersangkutan"
"metode radio karbon",noun,"metode yang dipakai untuk menentukan usia fosil"
"metode sintetis",noun,"metode pengajaran membaca dan menulis permulaan dengan menyajikan unsur satuan bahasa, kemudian menyuruh siswa menggabung-gabungkannya menjadi satuan bahasa yang bersangkutan"
"metode tanya jawab",noun,"cara belajar atau mengajar yang menekankan pada pemberian pertanyaan oleh pengajar, sedangkan murid harus menjawab pertanyaan tersebut"
"metode transaksi",noun,"metode pembukuan yang lebih banyak memperlihatkan pendapatan selama masa jual beli terjadi"
"mewawas diri",verb,"melihat (memeriksa, mengoreksi) diri sendiri secara jujur; introspeksi"
"mi ayam",noun,"mi yang dimasak, berkaldu dan dihidangkan dengan potongan daging ayam dan daun sawi hijau"
"mi bakso",noun,"mi yang dimasak, berkaldu dan dihidangkan dengan bakso dan daun sawi hijau"
"mi dadak",noun,"mi yang setelah dimasak sekejap sudah siap untuk dimakan"
"mi kocok",noun,"mi rebus yang cara memasaknya dikocok dengan telur dan sayuran"
"mi pangsit",noun,"mi yang dimasak, berkaldu, dan dihidangkan dengan pangsit"
"miang gatal",noun,"gatal sekali"
"miang jelatang",noun,"miang dari tumbuhan jelatang"
"miang jelatang",noun,"penghasut; pemfitnah"
"miang kalam",noun,"kecil (sedikit) sekali"
"migran musiman",noun,"penduduk yang berpindah tempat tinggal pada musim tertentu untuk bekerja, misal setelah habis musim tanam padi petani meninggalkan tempat tinggalnya untuk bekerja di tem-pat lain dan kembali pada waktu musim panen"
"migran seumur hidup",noun,"orang yang tinggal di daerah yang bukan tempat kelahirannya"
"migrasi antardesa",noun,"migrasi yang terjadi antara daerah pedesaan yang satu dan yang lain"
"migrasi antarkota",noun,"migrasi yang terjadi antara daerah perkotaan yang satu dan yang lain"
"migrasi berantai",noun,"perpindahan penduduk dari satu daerah ke daerah yang lain yang diikuti oleh penduduk daerah asalnya, terjadi apabila rombongan atau orang yang pertama berhasil dan menarik saudara, teman, atau tetangganya dari daerah asalnya"
"migrasi bermusim",noun,"perpindahan penduduk yang terjadi dalam musim tertentu ke tempat tertentu dan kembali ke tempat asal dalam musim yang lain"
"migrasi desa kota",noun,"migrasi yang terjadi dari daerah pedesaan ke daerah perkotaan"
"migrasi ekstern",noun,"perpindahan penduduk ke wilayah negara lain"
"migrasi intern",noun,"perpindahan penduduk yang berlangsung di dalam wilayah suatu negara"
"migrasi kota desa",noun,"migrasi yang terjadi dari daerah perkotaan ke daerah pedesaan"
"migrasi paksaan",noun,"migrasi yang dilakukan karena terpaksa, misal karena gangguan keamanan oleh gerombolan pengacau sehingga penduduk suatu daerah terpaksa pindah atau dipindahkan, baik oleh penguasa maupun sumber bahaya yang lain"
"mikroskop elektron",noun,"perkakas optik elektron yang di dalamnya sorotan elektron diarahkan pada layar pijar atau pelat fotografis dengan menggunakan lensa elektron untuk menghasilkan gambar benda kecil yang diperbesar"
"mil laut",noun,"satuan jarak sebesar 1 detik busur derajat lintang (1/60 menit) sama dengan 1.852 m atau 6.076 kaki"
"milik bersama",noun,"pemilikan bersama atas jumlah kekayaan dengan syarat jika salah seorang meninggal, pemiliknya sepenuhnya beralih kepada yang masih hidup"
"milik pribadi",noun,"barang yang dimiliki oleh seseorang dan sepenuhnya dapat dipindahtangankan oleh pemiliknya"
"mimbar tilawah",noun,"tempat qari atau qariah membacakan ayat suci Alquran"
"mina padi",other,"sistem pemeliharaan ikan, biasanya tawes, dilakukan di sawah bersamaan dengan penanaman padi"
"mineral bahan bakar",noun,"golongan mineral yang digunakan sebagai bahan bakar, seperti minyak bumi, batu bara, dan mineral radioaktif"
"mineral besi",noun,"mineral yang sebagian besar komposisinya mengandung besi"
"mineral bijih",noun,"mineral yang mengandung logam berharga"
"mineral ikutan",noun,"komponen mineral dari batuan yang terdapat dalam jumlah kecil sehingga tidak diperhitungkan dalam klasifikasi"
"mineral liat",noun,"mineral berkristal yang didapatkan dalam tanah atau endapan kerak bumi"
"mineral primer",noun,"mineral yang belum mengalami perubahan kimia sejak pengendapan dan kristalisasinya dari lava cair"
"mineral ringan",noun,"mineral yang berbobot ringan dan berwarna cerah, misal kuarsa, kalsit, mika"
"mineral urat",noun,"mineral yang terbentuk atau terjadi di urat"
"minta aman",other,"mohon supaya tidak dibunuh"
"minta ampun",other,"mohon supaya diberi ampun (diampuni)"
"minta berhenti",other,"mohon supaya diberhentikan dari pekerjaan"
"minta cerai",other,"meminta supaya dijatuhi talak"
"minta diri",other,"mohon agar diizinkan pergi (pulang dsb)"
"minta izin",other,"mengharapkan perkenan untuk melakukan (berbuat) sesuatu"
"minta jalan",other,"mengharap agar diizinkan lewat"
"minta janji",other,"mengharap kelonggaran (dalam membayar utang dsb)"
"minta kasih",other,"mengharap ampunan"
"minta korban",other,"menyebabkan timbulnya korban (dalam kecelakaan, peperangan, dsb)"
"minta maaf",other,"mengharap agar diberi maaf (dimaafkan)"
"minta nyawa",other,"membawa (menyebabkan terjadinya) korban"
"minta nyawa",other,"mengharap (mohon) supaya tidak dibunuh"
"minta sedekah",other,mengemis
"minta selamat",other,"memohon (berdoa) agar selamat"
"minta tangan",other,"minta dihajar (dipukuli)"
"mintakat iklim",noun,"daerah yang memiliki kebiasaan cuaca yang sama di dalam jangka waktu yang sama"
"mintakat kering",noun,"daerah yang penguapan tahunannya rata-rata lebih besar atau sama dengan hujan tahunan rata-rata"
"mintakat lembap",noun,"mintakat iklim yang sama sekali tidak pernah mengalami kegersangan"
"minuman campur",noun,"minuman yang disiapkan menurut resep tertentu dengan mengaduk, mengacak, atau menggoncangkan dua (atau lebih) macam minuman (bahan)"
"minuman keras",noun,"minuman yang memabukkan, seperti bir, anggur, arak, tuak"
"minuman ringan",noun,"minuman yang tidak mengandung alkohol, misal teh botol, teh kotak, gula asam"
"minyak adas manis",noun,"minyak yang diperoleh pada penyulingan uap dari buah anis, digunakan dalam obat batuk, juga sebagai bahan pemberi rasa"
"minyak angin",noun,"obat untuk menyembuhkan kepala pusing (sakit perut dsb) yang dibuat dari campuran beberapa bahan"
"minyak anis",noun,"minyak manis"
"minyak arak",noun,"minyak tanpa warna yang bau dan rasanya tidak enak, terdiri atas campuran alkohol yang tinggi, etanol, dan asam lemak, merupakan hasil sampingan pada pembuatan etanol secara peragian"
"minyak asiri",noun,"minyak yang terdapat pada tumbuhan aromatik, mudah menguap, digunakan dalam minyak wangi, bumbu, dan obat-obatan"
"minyak avokad",noun,"minyak dari daging buah avokad yang mengandung vitamin A, D, dan E dan fitosterol serta lesitin, digunakan dalam ramuan obat untuk melembutkan kulit"
"minyak babi",noun,"minyak yang terbuat dari lemak babi yang diencerkan"
"minyak badam",noun,"minyak yang dibuat dari buah badam"
"minyak bakar",noun,"sulingan berat, residu, atau campuran keduanya sebagai bahan bakar untuk menghasilkan panas atau tenaga"
"minyak basah",noun,"minyak yang mengandung air"
"minyak batu bara",noun,"minyak hasil penyulingan destruktif batu bara"
"minyak bauan",noun,"minyak untuk membuat bau harum"
"minyak bayi",noun,"minyak untuk membersihkan kulit bayi"
"minyak bekas",noun,"minyak lumas yang sudah digunakan melumasi mesin atau peralatan mesin"
"minyak berat",noun,"produksi hasil penyulingan minyak bumi mulai dari fraksi pelumas yang paling ringan sampai yang paling berat (proses)"
"minyak biawak",noun,"minyak yang terbuat dari lemak biawak"
"minyak bijan",noun,"minyak yang dibuat dari buah bijan"
"minyak bilas",noun,"minyak untuk membersihkan saluran pelumasan dan bagian yang bergerak dalam motor yang dilalui sistem jaringan pelumasan"
"minyak bubut",noun,"jenis hasil pengilangan minyak bumi atau minyak hewani yang digunakan dalam proses pembubutan logam"
"minyak bumi",noun,"campuran berbagai hidrokarbon yang terdapat dalam fase cair dalam reservoar di bawah tanah dan yang tetap cair pada tekanan atmosfer setelah melalui fasilitas pemisah di atas permukaan"
"minyak bumi",noun,"minyak yang ditambang dari bumi (seperti minyak tanah, bensin, kerosin)"
"minyak bunga cengkih",noun,"minyak yang diekstraksi dengan bunga kering beraroma dari pohon cengkih, digunakan dalam pengobatan"
"minyak bungker",noun,"minyak bakar atau minyak diesel yang diisikan ke dalam palka bahan bakar kapal"
"minyak cat",noun,"minyak untuk mencairkan cat"
"minyak cenduai",noun,"minyak wangi guna-guna (untuk menarik hati perempuan)"
"minyak cor",noun,"minyak yang mempunyai sifat khusus yang cocok untuk digunakan sebagai perekat pasir dalam pembuatan inti cetakan cor"
"minyak cuci",noun,"sulingan minyak bumi yang daya penguapan, titik nyala, dan sifat lainnya cocok sebagai pengencer dan pelarut cat, rengas, dan produk yang sejenis"
"minyak dan gas bumi",noun,"minyak yang secara alami terdapat dalam batuan petroleum"
"minyak di tempat",noun,"jumlah minyak bumi yang diperkirakan ada di dalam reservoar dan belum pernah diproduk-si"
"minyak diesel",noun,"minyak bakar berat yang pembakarannya dimulai dengan nyala spontan karena tekanan, digunakan sebagai bahan bakar mesin diesel dan jenis mesin industri yang mempunyai kecepatan putar rendah atau sedang, yang tidak memerlukan bahan bakar khusus seperti untuk putaran tinggi"
"minyak duyung",noun,"minyak yang terbuat dari lemak duyung"
"minyak ekuitas",noun,"bagian produksi minyak bumi yang menjadi hak perusahaan minyak dalam hal konsesi yang dimiliki bersama oleh pemerintah dan perusahaan minyak"
"minyak eukaliptus",noun,"minyak yang disuling dari daun Eucalyptus"
"minyak goreng",noun,"minyak yang dipakai untuk menggoreng, seperti minyak kelapa, minyak jagung, minyak kacang"
"minyak hidup",noun,"minyak bumi yang mengandung gas"
"minyak hitam",noun,"cairan minyak bumi yang berwarna tua, seperti minyak diesel, minyak bakar, atau beberapa jenis minyak lumas berat"
"minyak ikan",noun,"minyak yang mula-mula diambil dari lemak ikan paus, tetapi kemudian juga dari ikan dan binatang laut lainnya, digunakan dalam pengobatan karena mengandung vitamin A dan D berkadar tinggi"
"minyak isolasi",noun,"minyak yang digunakan dalam alat pemutus listrik, tombol listrik, transformator, dan alat listrik lainnya untuk isolasi, pendinginan, atau untuk kedua-duanya"
"minyak jarak",noun,"minyak nabati yang diekstraksi dari biji tumbuhan Ricinus communis"
"minyak jernih",noun,"produk minyak yang lebih mudah menguap, seperti bensin, minyak cuci, dan minyak tanah (kerosin)"
"minyak kakao",noun,"lemak cokelat yang diperoleh dari biji kakao yang diperas antara lempeng panas dan dingin, mempunyai titik lebur rendah"
"minyak kapur barus",noun,"minyak yang diperoleh dengan menyuling kukus daun salam kapur barus Cinnamomun camphora, berupa cairan tanpa warna, berbau kuat, bersifat antiseptik"
"minyak kasren",noun,"minyak bumi yang kadar belerangnya rendah"
"minyak kasti",noun,"minyak bumi yang mempunyai kadar belerang tinggi"
"minyak kastor",noun,"minyak jarak; kastroli"
"minyak kayu putih",noun,"minyak asiri yang dibuat dari daun pohon kayu putih, digunakan sebagai obat"
"minyak kelapa",noun,"minyak takasiri yang diperas dari buah kelapa, digunakan sebagai minyak makan, dalam pembuatan margarin dan sabun"
"minyak kelenteng",noun,"minyak yang dibuat dari biji buah kapuk randu"
"minyak keruh",noun,"minyak lumas yang diolah dari minyak bumi yang dimurnikan sampai berwarna kuning pucat jika terkena sinar, dapat berupa minyak jadi atau minyak setengah jadi"
"minyak ketumbar",noun,"minyak asiri yang disuling dari buah ketumbar"
"minyak kuku",noun,"minyak yang diperoleh dari kuku sapi atau biri-biri yang dicampur dengan produk minyak bumi yang sangat murni, digunakan sebagai pelumas arloji dan instrumen"
"minyak ladan",noun,"minyak (perekat) yang dibuat dari damar"
"minyak latung",noun,"minyak tanah"
"minyak lavender",noun,"minyak bauan yang diperoleh dari pucuk bunga jenis Lavendula latifolia, digunakan dalam wangi-wangian"
"minyak lemak",noun,"minyak yang diperoleh dari hewan dan tumbuhan, merupakan senyawa karbon, hidrogen, dan oksigen, tetapi bukan suatu karbohidrat"
"minyak liar",noun,"minyak bumi yang pada tekanan rendah atau tekanan atmosfer mengeluarkan banyak gas"
"minyak limau",noun,"minyak bauan yang diperoleh dari kulit limau, digunakan sebagai bahan pembau"
"minyak lincir",noun,"minyak untuk melicinkan mesin dsb"
"minyak lumas",noun,"pelumas cair berasal dari minyak bumi yang diberi zat lain untuk memperoleh pelumas khusus yang diperlukan"
"minyak makasar",noun,"lemak kuning dari biji Schleichera trijuga, digunakan sebagai bahan pembau"
"minyak manis",noun,"minyak goreng"
"minyak mati",noun,"minyak bumi yang tidak mengandung gas lagi"
"minyak media",noun,"selingan antara minyak tanah dan minyak diesel, digunakan dalam lampu sinyal, media absorpsi dalam proses perolehan bensin, media untuk bahan pemberantas serangga dan bahan penyemprot"
"minyak medis",noun,"minyak hasil pengolahan yang bermutu tinggi, tidak berwarna, tidak berbau, dan tidak mempunyai rasa, berasal dari minyak bumi dan digunakan sebagai obat"
"minyak mengering",noun,"minyak yang menyerap oksigen atau yang berpolimer menjadi massa padat dengan adanya oksigen, digunakan dalam cat untuk membentuk lapisan keras yang melekat"
"minyak mentah",noun,"minyak bumi yang belum diolah atau belum disuling"
"minyak mentah",noun,"campuran rumit mineral hidrokarbon yang diperoleh dari endapan geologi"
"minyak mesin",noun,"minyak pelumas bantalan motor, mesin, dsb, kecuali untuk mesin uap"
"minyak mineral",noun,"minyak yang berasal dari mineral, seperti minyak dan gas bumi, serpih minyak, dan batu bara"
"minyak neroli",noun,"minyak bauan yang disuling dari bunga limau manis Citrus bigardia atau Citrus aurantium, digunakan dalam wangi-wangian"
"minyak pajan",noun,"minyak bumi yang telah kehilangan cukup banyak komponen ringannya karena penguapan dan sebab alamiah lain selama penyimpanan dan penanganan"
"minyak palmarosa",noun,"minyak asiri dari rumput Andropogon schoenanthus di Afrika Selatan, dapat digunakan sebagai pengganti minyak mawar"
"minyak parafin",noun,"minyak berwarna terang yang tidak mengandung lilin dan diperoleh dari sulingan parafin lewat penyaringan bertekanan"
"minyak patra",noun,"minyak tanah; kerosin"
"minyak pekat",noun,salep
"minyak pelet",noun,"minyak (dari ikan duyung dsb) yang diisi guna-guna untuk memikat hati perempuan atau laki-laki yang dikehendaki"
"minyak pelumas",noun,"minyak lumas; minyak lincir"
"minyak pepermin",noun,"minyak yang disuling dari pucuk bunga segar Mentha piperita, mempunyai sifat antiseptik sederhana"
"minyak putih",noun,"jenis minyak lumas ringan yang dimurnikan, digunakan sebagai minyak lumas mesin pabrik makanan, dan pabrik tekstil, dan sebagai bahan keperluan farmasi"
"minyak raksi",noun,"minyak wangi"
"minyak rambut",noun,"minyak untuk melicinkan rambut"
"minyak rangsang",noun,"minyak dari tumbuhan yang bau dan rasanya sangat merangsang saraf pencium atau saraf perasa"
"minyak ringan",noun,"semua hasil sulingan minyak bumi yang diperoleh dari proses penguapan dan pengembunan pada tekanan atmosfer"
"minyak roda gigi",noun,"minyak pelumas untuk roda gigi transmisi"
"minyak samin",noun,"minyak yang dibuat dari lemak kambing (unta dsb)"
"minyak serai",noun,"minyak yang dibuat dari batang serai"
"minyak setengah mengeringkan",noun,"minyak lemak yang mengental secara lambat pada penyingkapan terhadap cahaya dan udara"
"minyak silinder",noun,"minyak kental yang digunakan untuk melumas silinder dan katup mesin uap"
"minyak sinyal",noun,"minyak tanah (kerosin) yang cocok dipakai untuk bahan bakar lampu bakar yang menggunakan sumbu, khususnya untuk lampu sinyal atau lampu isyarat rel kereta api"
"minyak siram jalan",noun,"residu minyak atau minyak bumi yang langsung dapat disiramkan pada permukaan jalan"
"minyak sitronela",noun,"minyak asiri yang diperoleh dari rumput yang tumbuh di Srilangka, digunakan sebagai minyak bauan dan minyak penyembur nyamuk"
"minyak takmengering",noun,"minyak yang tidak mengambil oksigen dari udara dan tidak memadat, tidak mengering, dan tetap cair apabila disingkapkan di udara"
"minyak tampungan",noun,"minyak yang tercecer dalam berbagai kegiatan perminyakan yang dikumpulkan kembali dan dimanfaatkan lagi bagi kegiatan tersebut"
"minyak tanah",noun,"minyak yang diperoleh dengan menambang dari dalam tanah, digunakan untuk bahan bakar; kerosin; minyak patra"
"minyak ter",noun,"benda hitam mudah dilebur, diperoleh dari penyulingan ter pinus, digunakan dalam pembuatan permukaan atau sambungan kalis air"
"minyak terhidrogen",noun,"minyak cair dapat dipadatkan dengan penghidrogenan"
"minyak trafo",noun,"hidrokarbon hasil pengilangan bermutu tinggi yang digunakan sebagai pendingin dan media isolasi dalam transformator"
